district_name,city,year_started,month_started,one_to_one,grade_levels,device_type,notes,source_url,source_2,enrollment_count,enrollment_size,locale_type,google_search,google_sources
Lake Central School Corporation,St. John,2023 (by),February,Yes,K-12 (HS confirmed),Chromebook,"upper bound; LCHS FB post 2023-02-28 references junior 'school-issued Chromebook'; LCHS handbook confirms all students use school-issued Chromebooks; district FB pages are recent (post-2023), so older rollout dates not extractable from FB",https://lcsc.us/departments/technology/,https://www.facebook.com/profile/100090339965004/search/?q=chromebook,8985,Large,Suburban,,
Lake Ridge New Tech Schools,Gary,2021,,Yes,K-12,Chromebook (Lenovo 2-in-1),Transitioned from Apple district to Chromebook district,https://www.lakeridge.k12.in.us/departments/technology,,1550,Medium,Suburban,,
Lake Station Community Schools,Lake Station,,,,,,,,,1030,Medium,Suburban,,
Lakeland School Corporation,LaGrange,,,,,,,,,1509,Medium,Rural,,
Lanesville Community School Corporation,Lanesville,,,,,,,,,733,Small,Rural,,
LaPorte Community School Corporation,LaPorte,2020 (by),March,Yes,K-12,Chromebook,"upper bound; oldest FB chromebook post 2020-03-17 (COVID-era distribution); 'One to World Learning' initiative with Chromebook at grades 1/5/9 lasting 3 years; described as longstanding so actual rollout likely earlier",https://www.lpcsc.k12.in.us/en-US/frequently-asked-questions-3926d263,https://www.facebook.com/profile/100063672428101/search/?q=chromebook,6089,Large,Urban,,
Lawrenceburg Community School Corporation,Lawrenceburg,,,,,,,,,2122,Medium,Rural,,
Lebanon Community School Corporation,Lebanon,2018 (by),March,Yes,K-12,iPad (was MacBook Air for 6-12; not Chromebook),"upper bound; FB ipad-search CSS-decoded oldest 2018-03-20; K-12 1:1 iPads currently per district info; previously grades 6-12 had MacBook Air laptops; not a Chromebook district",https://www.leb.k12.in.us/academics/11-technology/about,https://www.facebook.com/profile/100063704075464/search/?q=ipad,3701,Medium,Rural,1,Google search confirms LCSC has 1:1 program; no public year identified beyond existing FB upper bound
Lewis Cass Schools,Walton,,,,,,,,,1283,Medium,Rural,,
Liberty-Perry Community School Corporation,Selma,,,,,,,,,1161,Medium,Rural,,
Linton-Stockton School Corporation,Linton,,,,,,,,,1393,Medium,Rural,,
Logansport Community School Corporation,Logansport,2020 (by),February,Yes (likely),HS confirmed,Chromebook,"upper bound; FB chromebook search no results; device search CSS-decoded oldest 2020-02-03 (pre-COVID); LHS handbook references Parent Chromebook Memo",https://www.lcsc.k12.in.us/,https://www.facebook.com/profile/100052160752652/search/?q=device,4488,Medium,Rural,1,Google search returned no additional 1:1 details beyond existing FB upper bound
Loogootee Community School Corporation,Loogootee,,,,,,,,,762,Small,Rural,1,Google search returned no public 1:1 device program details for loogootee.k12.in.us
Maconaquah School Corporation,Bunker Hill,2012,,Yes,K-12,,Google search summary states Maconaquah began 1:1 initiative in 2012; original device type not specified,https://www.maconaquah.k12.in.us/,,1883,Medium,Rural,1,Google search snippet identified 2012 1:1 initiative start year
Madison Consolidated Schools,Madison,2014,,Yes,K-12,,per district 1:M page: 1:1 device program began 2014-2015 school year after researching multiple devices,https://www.madison-schools.com/1m,,2651,Medium,Rural,,
Madison-Grant United School Corporation,Fairmount,,,,,,,,,2024,Medium,Rural,1,Google search returned only general district info (grades 7-12); no public 1:1 device program details
Manchester Community Schools,North Manchester,,,,,,,,,1377,Medium,Rural,1,Google search returned no public 1:1 device program details for mcs.k12.in.us
Marion Community Schools,Marion,2020 (by),June,Yes,K-12,iPad,"upper bound; FB ipad-search CSS-decoded oldest 2020-06-11 (COVID-era); MCS Tech FAQ confirms 2025-26 K-12 iPad assignment (K-6 stay at school; 7-12 take-home daily); earlier device history unclear",https://www.facebook.com/profile/100063632350105/search/?q=ipad,https://www.marion.k12.in.us/apps/pages/index.jsp?uREC_ID=3879322&type=d&pREC_ID=2478137,3668,Medium,Rural,1,https://www.marion.k12.in.us/apps/pages/index.jsp?uREC_ID=3879322&type=d&pREC_ID=2478137
Medora Community School Corporation,Medora,,,,,,,,,185,Small,Rural,,
Merrillville Community School Corporation,Merrillville,2020 (by),August,Yes,Not specified,Chromebook,"upper bound; FB chromebook-search CSS-decoded oldest 2020-08-08 (COVID-era distribution series); district has Chromebook Basics page with insurance + sanitization resources",https://www.mvsc.k12.in.us/chromebook-basics,https://www.facebook.com/profile/100063497506143/search/?q=chromebook,5904,Large,Suburban,,
Michigan City Area Schools,Michigan City,2020 (by),August,Yes,K-12,Mixed (Chromebooks and tablets),"upper bound; oldest FB chromebook post 2020-08-03 about Chromebook distribution/collection/insurance; optional insurance $30 for grades 7-12",https://www.educatemc.net/departments/technology/chromebooks,https://www.facebook.com/profile/100063764521119/search/?q=chromebook,5030,Large,Urban,,
Middlebury Community Schools,Middlebury,2020 (by),May,Yes (HS),Northridge HS confirmed,Chromebook,"upper bound; oldest FB chromebook post 2020-05-19 references Northridge HS upcoming dates; rollout likely earlier",https://www.facebook.com/profile/100063462614027/search/?q=chromebook,,4028,Medium,Rural,,
Milan Community Schools,Milan,,,,,,,,,1095,Medium,Rural,,
Mill Creek Community School Corporation,Amo,,,,,,,,,1610,Medium,Rural,,
Mississinewa Community School Corporation,Gas City,2020 (by),April,Yes (likely),Not specified,iPad,FB ipad CSS-decoded oldest 2020-04-27 (COVID-era); 2021-08-20 post 'Apple Learning Specialist iPad workshop - exploring our new devices' (PD for staff),https://www.facebook.com/profile/100063540428926/search/?q=ipad,,2453,Medium,Rural,,
Mitchell Community Schools,Mitchell,,,,,,,,,1476,Medium,Rural,,
Monroe County Community School Corporation,Bloomington,,,Yes,,Chromebook,"district has 1:1 Chromebook program (MCCSC); FB chromebook search returned no results, 1:1 / device searches yielded only unrelated posts; year not confirmed",https://www.mccsc.edu/,https://www.facebook.com/profile/100036004343843/search/?q=chromebook,10480,Large,Urban,,
Monroe Central School Corporation,Parker City,,,,,,,,,1150,Medium,Rural,,
Monroe-Gregg School District,Monrovia,,,,,,,,,1567,Medium,Rural,,
Mooresville Consolidated School Corporation,Mooresville,2020 (by),March,Yes,K-12,Chromebook,"upper bound; oldest FB chromebook post 2020-03-17 (COVID-era; verified all 5 results loaded — 'End of results'); MS/HS take home daily; elementary sent home for eLearning days",https://www.mooresvilleschools.org/departments/academics/e_learning,https://www.facebook.com/profile/100064022734462/search/?q=chromebook,4318,Medium,Suburban,,
Mount Vernon Community School Corporation,Fortville,2019 (by),August,Yes,K-12,Chromebook (Dell),"upper bound; oldest FB chromebook post 2019-08-09 references MV Tech Team preparing 4400+ Chromebooks for back-to-school; rollout likely earlier",https://mvcsc.k12.in.us/15877_4,https://www.facebook.com/profile/100063548501770/search/?q=chromebook,4940,Medium,Rural,,
MSD of Bluffton-Harrison,Bluffton,,,,,,,,,1813,Medium,Rural,,
MSD of Boone Township,Hebron,,,,,,,,,996,Small,Rural,,
MSD of Decatur Township,Indianapolis,2018 (by),December,Yes,K-12 (implied),Chromebook,"upper bound; FB chromecare-search CSS-decoded oldest 2018-12-30; MSD 'ChromeCare' program brand; rollout likely earlier",https://chromecare.msdk12.net/home,https://www.facebook.com/profile/100063946117466/search/?q=chromecare,6485,Large,Urban,,
MSD of Lawrence Township,Indianapolis,2014,,Yes,High school (confirmed),Chromebook,Every HS student received a Chromebook; broader scope unclear,https://indianapolisrecorder.com/a1696cac-39c6-11e4-afae-7fa3917e6569/,,16747,Very Large,Suburban,,
MSD of Martinsville,Martinsville,2016,,Yes,All students,Mixed (iPads or Chromebooks by grade),"HS 1:1 in 2016-2017; district-wide 2017-2018; student tech team ""Artie Intel""",https://en.wikipedia.org/wiki/Martinsville_High_School_(Indiana),,3998,Medium,Rural,,
MSD of Mount Vernon and South Posey County Schools,Mount Vernon,,,,,,,,,1999,Medium,Rural,,
MSD of New Durham Township,Westville,,,,,,,,,908,Small,Rural,,
MSD of North Posey County Schools,Poseyville,,,,,,,,,1455,Medium,Rural,,
MSD of Perry Township,Indianapolis,2014,March,Yes,K-12,Chromebook,~$200 per device; K-5 at building discretion; uses Securly monitoring,http://www.perryschools.org/technology/2014/03/14/chromebooks-in-perry-township/,,16243,Very Large,Urban,,
MSD of Pike Township,Indianapolis,2020,,Yes,K-12 (~11250 students),Chromebook,Needed ~950 additional devices to fill equity gap during COVID,https://www.edweek.org/technology/coronavirus-squeezes-supply-of-chromebooks-ipads-and-other-digital-learning-devices/2020/04,,10674,Large,Urban,,
MSD of Shakamak Schools,Jasonville,,,,,,,,,679,Small,Rural,,
MSD of Steuben County,Angola,2015,,Yes,K-12 (~2600 students),Chromebook,1:1 for approximately nine years as of 2024; third-party repair service,https://edtechmagazine.com/k12/article/2024/10/why-more-schools-are-breaking-away-house-device-management,,2492,Medium,Rural,,
MSD of Wabash County Schools,Wabash,2017 (by),April,Yes,Includes elementary,iPad (also MacBook Air),FB ipad CSS-decoded shows 2017-04-15 'Butterfly larva arrive! Observe & IPad photo & journal metamorphosis #SESGrade2a@Ses_Knights' - classroom iPad use; June 2016 posts are device sale,https://www.facebook.com/profile/100063788839786/search/?q=ipad,,2256,Medium,Rural,,
MSD of Warren County,Williamsport,,,,,,,,,1332,Medium,Rural,,
MSD of Warren Township,Indianapolis,2013 (by),,Yes,K-12,Mixed (iPads for K; Chromebooks 1-12),iConnect@Warren initiative live by Oct 2013 (Wayback); 2020 Chromebook RFP documented,https://www.warren.k12.in.us/iconnect-technology,,11915,Large,Urban,,
MSD of Washington Township,Indianapolis,2020 (by),,Yes,K-12 (some grades),Chromebook,First Chromebook page July/August 2020 (Wayback); COVID-era; recent take-home policy expansion,https://www.wrtv.com/news/local-news/parents-push-back-over-new-chromebook-policy-for-washington-township-middle-schools,,11391,Large,Urban,,
MSD of Wayne Township,Indianapolis,2013,,Yes,K-12 (~16000 students),Chromebook,One of Indiana's earliest district-wide 1:1 Chromebook programs,https://www.prnewswire.com/news-releases/msd-wayne-township-improves-access-to-digital-learning-for-16-000-students-with-classlink-301282661.html,,16146,Very Large,Urban,,
Muncie Community Schools,Muncie,2020 (by),August,Yes,K-12 (likely),Chromebook,"upper bound; oldest FB chromebook post 2020-08-04 reminds students to turn in Chromebook+charger; 2021-08-04 references Virtual Learning Chromebook pickup; has Chromebook agreement and insurance",https://www.muncie.k12.in.us/departments/technology,https://www.facebook.com/profile/100063917265216/search/?q=chromebook,5126,Large,Urban,,
Nettle Creek School Corporation,Hagerstown,,,,,,,,,1172,Medium,Rural,,
New Albany-Floyd County Consolidated Schools,New Albany,2020 (by),July,Yes,K-12,Chromebook,FB chromebook CSS-decoded oldest 2020-07-28 'kindergarten open house... chromebook distribution updates' - district-wide chromebook program by July 2020; 2021 virtual academy was later expansion,https://www.lpm.org/news/2021-05-13/new-albany-floyd-county-schools-to-launch-virtual-academy,https://www.facebook.com/profile/100064318644313/search/?q=chromebook,11362,Large,Suburban,,
New Castle Community School Corporation,New Castle,2019 (by),December,Yes,K-12,,FB device post 2019-12-16 'eLearning Day - MS/HS do eLearning; Elementary take devices or packets home' - confirms K-12 device program by Dec 2019,https://www.facebook.com/profile/100057643771239/search/?q=device,,2881,Medium,Rural,,
New Prairie United School Corporation,New Carlisle,,,,,,FB chromebook search returned no results; no public 1:1 device evidence found,https://www.facebook.com/p/New-Prairie-United-School-Corporation-100064489760072/,,2815,Medium,Rural,,
Nineveh-Hensley-Jackson United School Corporation,Trafalgar,,,,,,,,,2127,Medium,Rural,,
Noblesville Schools,Noblesville,2014,July,Yes,grades 5+ initially; K-4 added later,iPad (not Chromebook),"upper bound; oldest FB iPad post 2014-07-09; FB post 2016-10-28 noted K-4 1:1 iPad recommendation underway (implying older grades already 1:1)",https://www.facebook.com/profile/100064828717167/search/?q=ipad,,10525,Large,Suburban,,
North Adams Community Schools,Decatur,,,,,,,,,1571,Medium,Rural,,
North Central Parke Community School Corporation,Rockville,,,,,,,,,1180,Medium,Rural,,
North Daviess Community Schools,Elnora,,,,,,,,,1085,Medium,Rural,,
North Gibson School Corporation,Princeton,,,,,,,,,1864,Medium,Rural,,
North Harrison Community School Corporation,Ramsey,,,,,,,,,2076,Medium,Rural,,
North Judson-San Pierre School Corporation,North Judson,,,,,,,,,914,Small,Rural,,
North Knox School Corporation,Bicknell,,,,,,,,,1158,Medium,Rural,,
North Lawrence Community Schools,Bedford,2017 (by),January,Yes,Not specified,Chromebook,"upper bound; oldest FB chromebook post 2017-01-13 (Chromebook cold-weather care reminder, implying established program); rollout likely earlier",https://www.facebook.com/profile/100064104932558/search/?q=chromebook,,3568,Medium,Rural,,
North Miami Community Schools,Denver,,,,,,,,,818,Small,Rural,,
North Montgomery Community School Corporation,Crawfordsville,,,,,,,,,1847,Medium,Rural,,
North Newton School Corporation,Morocco,,,,,,,,,1004,Medium,Rural,,
North Putnam Community Schools,Roachdale,,,,,,,,,1370,Medium,Rural,,
North Spencer County School Corporation,Lincoln City,,,,,,FB chromebook ipad and device searches all returned no results; no public 1:1 device evidence found,https://www.facebook.com/NorthSpencerSch/,,2166,Medium,Rural,,
North Vermillion Community School Corporation,Cayuga,,,,,,,,,731,Small,Rural,,
North West Hendricks Schools,Lizton,,,,,,,,,1958,Medium,Rural,,
North White School Corporation,Monon,,,,,,,,,904,Small,Rural,,
Northeast Dubois County School Corporation,Dubois,,,,,,,,,833,Small,Rural,,
Northeast School Corporation of Sullivan County,Hymera,,,,,,,,,773,Small,Rural,,
Northeastern Wayne Schools,Fountain City,,,Yes,K-12,iPad (considering switch to Chromebook),per Western Wayne News article: district currently uses iPads district-wide; surveying about possibly switching to Chromebooks; not currently a Chromebook district,https://westernwaynenews.com/northeastern-considers-chromebooks/,,1337,Medium,Rural,,
Northern Wells Community Schools,Ossian,2017 (by),July,Yes,K-12 (likely),iPad (not Chromebook),FB ipad CSS-decoded oldest 2017-07-18 'your child's iPad will come with a protective case this year' - clear 1:1 iPad program with AppleCare,https://www.facebook.com/profile/100063719627379/search/?q=ipad,,2413,Medium,Rural,,
Northwest Allen County Schools,Fort Wayne,2020 (by),April,Yes,K-12,Chromebook (Lenovo/Dell),"upper bound; FB chromebook search no results; device search CSS-decoded oldest 2020-04-20; district uses Lenovo and Dell Chromebooks per tech support pages; rollout likely earlier",https://www.nacs.k12.in.us/36005_3,https://www.facebook.com/profile/100063668705552/search/?q=device,8409,Large,Rural,,
Northwestern Consolidated School Corporation,Fairland,,,,,,,,,1847,Medium,Rural,,
Northwestern School Corporation,Kokomo,,,,,,,,,1847,Medium,Rural,,
Oak Hill United School Corporation,Converse,,,,,,,,,1533,Medium,Rural,,
Oregon-Davis School Corporation,Hamlet,2023,,Yes,Grades 5-12,Chromebook,per Google search summary: starting 2023-24 school year grades 5-12 issued district-managed Chromebook at no charge with take-home; primary source URL not captured,,,527,Small,Rural,,
Orleans Community Schools,Orleans,,,Yes,K-12,Chromebook,district has 1:1 Chromebook program K-12 per district tech site; year not confirmed,https://sites.google.com/a/orleans.k12.in.us/orleans-community-schools-technology/getting-started/chrome-os-apps-menu,,887,Small,Rural,,
Paoli Community School Corporation,Paoli,,,Yes,Includes HS,Chromebook,district has Chromebook insurance forms required at Paoli HS; year not confirmed,https://www.paoli.k12.in.us/article/2354075,,1235,Medium,Rural,,
Penn-Harris-Madison School Corporation,Mishawaka,2014,,Yes,K-12 (~11000 students),Mixed (Chromebooks 1-12; iPads K),Penn HS first in 2014; middle schools 2015; grades 6-12 take home,https://www.phmschools.org/parents/technology/elearning-2/,,11329,Large,Suburban,,
Perry Central Community School Corporation,Leopold,,,,,,,,,1275,Medium,Rural,,
Peru Community Schools,Peru,,,,,,,,,1830,Medium,Rural,,
Pike County School Corporation,Petersburg,,,,,,,,,1561,Medium,Rural,,
Pioneer Regional School Corporation,Royal Center,,,,,,,,,898,Small,Rural,,
Plainfield Community School Corporation,Plainfield,2016,July,Yes,Initial: HS seniors with Dell tablets,Mixed (Dell tablet then Chromebook),FB device-search shows post 'July 20 2016: Today was the first day of 1:1 device distribution and seniors were the first to receive and get set up on the new Dell tablets' at Plainfield HS; 2024 Chromebook expansion was district-wide grant,https://phs.plainfieldschools.org/parents/1_1_chromebook_information,https://www.facebook.com/profile/100063495465347/search/?q=device,5917,Large,Suburban,,
Plymouth Community School Corporation,Plymouth,,,Yes,PreK-12 (likely),iPad (not Chromebook),"district has 'Mobile Learning' dept with 1:1 iPad Policy (RUP) and PCSC iPad Expectations; not a Chromebook district; year not confirmed",https://www.plymouth.k12.in.us/departments/mobile-learning,,3168,Medium,Rural,,
Portage Township Schools,Portage,2018 (by),September,Yes,K-12,Mixed (Chromebooks elementary; Dell laptops HS),"upper bound; FB posts 2018-09-24 (8th Grade Parent Night) and 2018-10-22 (Jones Elementary students designing Chromebook skins via Google Drawings); mixed device types by level",https://www.portage.k12.in.us/apps/pages/index.jsp?uREC_ID=2026834&type=d&pREC_ID=2106000,https://www.facebook.com/profile/100063483433795/search/?q=chromebook,6519,Large,Suburban,,
Porter Township School Corporation,Valparaiso,,,,,,,,,1509,Medium,Rural,,
Prairie Heights Community School Corporation,LaGrange,,,,,,,,,1346,Medium,Rural,,
Randolph Central School Corporation,Winchester,,,Yes,K-12,Chromebook,district has K-12 1:1 Chromebook program per Business View Magazine profile (date not specified); Clear Touch panels in every classroom; year not confirmed,https://businessviewmagazine.com/randolph-central-school-corporation/,,1408,Medium,Rural,,
Randolph Eastern School Corporation,Union City,,,Yes,K-12,Chromebook (Lenovo),district 1:1 Lenovo Chromebooks per LanSchool case study; year not confirmed,https://lanschool.com/resource-center/case-studies/randolph-eastern-supports-a-robust-distance-learning-program-with-lanschool-air,,915,Small,Rural,,
Randolph Southern School Corporation,Lynn,,,,,,,,,478,Small,Rural,,
Rensselaer Central School Corporation,Rensselaer,,,,,,,,,1522,Medium,Rural,,
Richland-Bean Blossom Community School Corporation,Ellettsville,2022 (by),August,Yes,Not specified,Chromebook,FB chromebook CSS-decoded oldest 2022-08-08 'going back to school' post; rollout earlier,http://www.rbbcsc.k12.in.us/index.php?Itemid=1320&id=486&option=com_content&view=article,https://www.facebook.com/profile/100057420732991/search/?q=chromebook,2776,Medium,Suburban,,
Richmond Community Schools,Richmond,2012,,Yes,K-12,Chromebook,Received Indiana Classroom Innovation Grant in 2012; exact Chromebook launch unclear,https://www.werrichmond.com/apps/pages/index.jsp?uREC_ID=1668739&type=d&pREC_ID=2592191,,4436,Medium,Rural,,
Rising Sun-Ohio County Community School Corporation,Rising Sun,,,,,,,,,831,Small,Rural,,
River Forest Community School Corporation,Hobart,,,,,,,,,1707,Medium,Suburban,,
Rochester Community School Corporation,Rochester,,,,,,,,,1593,Medium,Rural,,
Rossville Consolidated School District,Rossville,,,Yes,K-12,Mixed (Chromebook primary; some Apple devices),district is 1:1 K-12 with Chromebooks per Clinton/Carroll County Daily News board coverage; recent handbook updates reference Apple device repair pricing; year not confirmed,https://www.rcsd.k12.in.us/about/employment,,933,Small,Rural,,
Rush County Schools,Rushville,,,,,,,,,1872,Medium,Rural,,
Salem Community Schools,Salem,2017,,Yes,K-12 by 2019 (phased rollout),Chromebook (ASUS),3-year phase-in: Year 1 2017 added grades 1/2/5/6/9; Year 2 2018 added grades 3/7/10/12; Year 3 2019 added K/4/8/11; planning began 5 years prior,https://www.salemschools.com/,,1592,Medium,Rural,,
School City of East Chicago,East Chicago,,,Yes (secondary 1:1; PreK-6 take-home),PreK-6 carts/take-home; secondary 1:1,Chromebook,per district tech page: PreK-6 has classroom carts and take-home devices; secondary is 1:1; uses Chromebooks; year not confirmed,https://www.scec.k12.in.us/services/technology,,3225,Medium,Suburban,,
School City of Hammond,Hammond,2018 (by),,Yes,All students,Chromebook,Chromebook usage forms in district by April 2018 (Wayback); pre-dates COVID; exact launch year unknown,https://sites.google.com/hammond.k12.in.us/techsupport/studentparents/chromebooks,,10507,Large,Suburban,,
School City of Hobart,Hobart,2020 (by),May,Yes,Grades 1-12,Chromebook,"upper bound; oldest FB chromebook post 2020-05-07 (COVID-era materials drop-off + Chromebook pickup); take-home 1:1; rollout likely earlier",https://www.hobart.k12.in.us/technology/1-1-technology,https://www.facebook.com/profile/100048586578805/search/?q=chromebook,3978,Medium,Suburban,,
School City of Mishawaka,Mishawaka,2025 (K-4 expansion),,Yes,K-12,Mixed (Chromebooks and iPads),K-4 Chromebook rollout for 2025-2026 school year; older grades had Chromebooks earlier (year unknown),https://www.mishawakaschools.com/families/technology-support,,5063,Large,Urban,,
School City of Whiting,Whiting,,,,,,no specific 1:1 device program info found via WebSearch,,,1091,Medium,Suburban,,
School Town of Highland,Highland,,,,,,no specific 1:1 device program info found via WebSearch,https://www.highland.k12.in.us/,,3165,Medium,Suburban,,
School Town of Munster,Munster,2020 (by),August,Yes,Not specified (4th gr+ via grant),Chromebook,FB device-search 2020-08-06 'Device Pickups -- If you had a scheduled appointment and missed it we have a device waiting for you'; 4th graders later funded by grant,https://www.munster.us/,https://www.facebook.com/profile/100063533020718/search/?q=device,4101,Medium,Suburban,,
School Town of Speedway,Speedway,,,,,,,,,1776,Medium,Suburban,,
Scott County School District 1,Austin,,,,,,,,,1328,Medium,Rural,,
Scott County School District 2,Scottsburg,2012,August,Yes (likely),Not specified,iPad (initial),"upper bound; oldest FB iPad posts via CSS-decoded date method: 2012-08-17, 2012-08-22, 2013-03-15; very early iPad program",https://www.facebook.com/profile/100063624517747/search/?q=ipad,,2542,Medium,Rural,,
Seymour Community Schools,Seymour,2016,August,Yes,K-12 (likely),Chromebook,"upper bound; oldest FB chromebook post 2016-08-04 (back-to-school timing); subsequent COVID-era curbside repair posts in 2020",https://www.facebook.com/profile/100063769831366/search/?q=chromebook,,5432,Large,Rural,,
Shelby Eastern Schools,Waldron,,,,,,,,,1292,Medium,Rural,,
Shelbyville Central Schools,Shelbyville,2023 (by),April,Yes (likely),Not specified,iPad (not Chromebook),"upper bound; FB chromebook search no results; Shelbyville Central Education Foundation iPad Sales post 2023-04-04 ('selling iPads again this year') and 2024 follow-up; not a Chromebook district",https://www.facebook.com/profile/100054546396575/search/?q=device,,3909,Medium,Rural,,
Shenandoah School Corporation,Middletown,,,,,,,,,1771,Medium,Rural,,
Sheridan Community Schools,Sheridan,,,,,,,,,1169,Medium,Rural,,
Silver Creek School Corporation,Sellersburg,2020,,Yes,K-12,Chromebook,COVID-era; newly formed from West Clark split; supply delays,https://www.newsandtribune.com/news/silver-creek-borden-henryville-distributing-chromebooks-after-delays/article_2b03aa4c-01c9-11eb-94ba-4b35389dfa30.html,,3214,Medium,Suburban,,
Smith-Green Community Schools,Churubusco,,,Yes,K-12,Chromebook (Dell),district offers every student a Dell Chromebook per ZoomInfo profile; year not confirmed,https://www.sgcs.k12.in.us/,,1103,Medium,Rural,,
South Adams Schools,Berne,,,,,,,,,1312,Medium,Rural,,
South Bend Community School Corporation,South Bend,2018,May (announced),Yes,K-12,Chromebook,Announced May 2018 for 2018-19 school year; grades 6-12 take-home; K-1 shared carts; 2-5 classroom carts,https://www.southbendtribune.com/story/news/education/2018/05/22/south-bend-school-students-will-each-have-chromebooks-soo/45721971/,,13580,Large,Urban,,
South Central Community School Corporation,Union Mills,2016,,Yes,K-12,Chromebook (HP 11 G9 EE),Students keep Chromebook up to 4 years or until graduation,https://www.scentral.k12.in.us/services/technology/chromebooks,,986,Small,Rural,,
South Dearborn Community School Corporation,Aurora,,,,,,,,,1849,Medium,Rural,,
South Gibson School Corporation,Fort Branch,,,Yes,K-12,Chromebook,district implemented 1:1 Chromebook K-12 for daily learning; year not confirmed,https://sgibson.k12.in.us/,,2118,Medium,Rural,,
South Harrison Community Schools,Corydon,2017,May,Yes,K-12,Chromebook,FB post May 1 2017 announces 'chromebooks will be provided beginning with the 2017-18 school year' (per Mike); confirmed rollout for 2017-18 SY,https://www.shcsc.k12.in.us/,https://www.facebook.com/profile/100064024780588/search/?q=chromebook,3123,Medium,Rural,,
South Henry School Corporation,Straughn,,,Yes,K-12 (PreK-12),Mixed (Chromebook or iPad),every student PreK-12 assigned a Chromebook or iPad at no cost; year not confirmed,https://www.shenry.k12.in.us/,,816,Small,Rural,,
South Knox School Corporation,Vincennes,,,,,,,,,1215,Medium,Rural,,
South Madison Community School Corporation,Pendleton,2017,,Yes,District-wide,Chromebook,Chromebook rental included in book fees starting 2017-2018,https://www.smadison.k12.in.us/blended_learning__1_1_/f_a_q,,4670,Medium,Suburban,,
South Montgomery Community School Corporation,New Market,,,,,,,,,1684,Medium,Rural,,
South Newton School Corporation,Kentland,,,,,,,,,846,Small,Rural,,
South Putnam Community Schools,Greencastle,,,,,,,,,1105,Medium,Rural,,
South Ripley Community School Corporation,Versailles,,,Yes,Junior High,Chromebook (Samsung),South Ripley Jr High is 1:1 with Samsung Chromebooks per district JHS page; year not confirmed,https://www.sripley.k12.in.us/srjhs-home,,1100,Medium,Rural,,
South Spencer County School Corporation,Rockport,,,,,,,,,1065,Medium,Rural,,
South Vermillion Community School Corporation,Clinton,,,,,,,,,1548,Medium,Rural,,
Southeast Dubois County School Corporation,Ferdinand,,,,,,,,,1254,Medium,Rural,,
Southeast Fountain School Corporation,Veedersburg,2016,,,Elementary classroom carts (initial),Chromebook (touchscreen),per district elementary About page: 2016-2017 every classroom at Southeast Fountain Elementary was given a set of touchscreen Chromebooks; full 1:1 status across district not confirmed,https://sefe.sefschools.org/apps/pages/index.jsp?uREC_ID=2607655&type=d&pREC_ID=2265221,,1045,Medium,Rural,,
Southern Hancock County Community School Corporation,New Palestine,2020,,Yes (5-12),Grades 5-12,Apple MacBook (not Chromebook),per Daily Reporter article March 2020: district provides Apple MacBook laptops to grades 5-12; not a Chromebook district,https://www.greenfieldreporter.com/2020/03/25/stayathome_studies_early_elearning_report_card_students_teachers_adapting_to_new_normal/,,3959,Medium,Rural,,
Southern Wells Community Schools,Poneto,,,,,,,,,880,Small,Rural,,
Southwest Allen County Schools,Fort Wayne,,,Yes,K-8 iPads / 9-12 laptops,Mixed (iPad K-8; Windows 10 laptop 9-12; not Chromebook),"district uses iPads K-8 and Windows laptops 9-12; not a Chromebook district; FB ipad and laptop searches both returned no results; year not confirmed",https://www.sacs.k12.in.us/10505_3,https://www.facebook.com/profile/100057183201148/search/?q=ipad,7502,Large,Suburban,,
Southwest Dubois County School Corporation,Huntingburg,,,Yes,Not specified,Chromebook,1:1 student devices; start year unknown,https://www.swdubois.k12.in.us/students,,2041,Medium,Rural,,
Southwest Parke Community School Corporation,Montezuma,,,,,,,,,1002,Medium,Rural,,
Southwest School Corporation of Sullivan County,Sullivan,,,,,,,,,1776,Medium,Rural,,
Southwestern Consolidated School District of Shelby County,Shelbyville,,,Yes,Pre-K through 12,Mixed (iPads and Chromebooks),district promo describes 1:1 iPads and Chromebooks Pre-K-12; year not confirmed,https://www.swshelby.k12.in.us/,,669,Small,Rural,,
Southwestern Jefferson County Consolidated Schools,Hanover,,,,,,,,,1263,Medium,Rural,,
Spencer-Owen Community Schools,Spencer,,,,,,no clear district FB page found via web search; needs further investigation,https://www.socs.k12.in.us/,,2156,Medium,Rural,,
Springs Valley Community School Corporation,French Lick,,,,,,,,,877,Small,Rural,,
Sunman-Dearborn Community School Corporation,St. Leon,2020 (by),November,Yes,K-12,Chromebook,FB chromebook CSS-decoded oldest 2020-11-19 'Remote Learning Chromebook Support' (existing 1:1 program); 2024-2025 Chromebook Handbook is later doc,https://www.sunmandearborn.k12.in.us/images/2024-2025_Sunman-Dearborn_Chromebook_Handbook.pdf,https://www.facebook.com/profile/100063438897317/search/?q=chromebook,3682,Medium,Rural,,
Switzerland County School Corporation,Vevay,,,,,,,,,1422,Medium,Rural,,
Taylor Community School Corporation,Kokomo,,,,,,,,,1205,Medium,Rural,,
Tell City-Troy Township School Corporation,Tell City,,,,,,,,,1351,Medium,Rural,,
