rank	district	state	field	FcoMU	mCWgg
2736	Kettle Moraine School District	WI	year_started	2016 (by)	2020 (by)
2736	Kettle Moraine School District	WI	one_to_one	Yes	Yes (phased)
2736	Kettle Moraine School District	WI	grade_levels	6-12	5-12
2737	Page Co Pblc Schs	VA	year_started	2017	2020 (by)
2737	Page Co Pblc Schs	VA	month_started	August	
2737	Page Co Pblc Schs	VA	one_to_one	Yes (phased)	Yes (likely)
2737	Page Co Pblc Schs	VA	grade_levels	6-12	K-12
2738	Tuloso-Midway ISD	TX	one_to_one		Partial
2739	Twin Valley SD	PA	one_to_one	Yes	Yes (likely)
2742	Katonah-Lewisboro Union Free School District	NY	month_started		September
2742	Katonah-Lewisboro Union Free School District	NY	one_to_one	Yes (likely)	Yes
2742	Katonah-Lewisboro Union Free School District	NY	device_type	Chromebook	Mixed (iPad/laptop)
2743	Carteret Public Schools	NJ	one_to_one	Yes (phased)	Yes
2743	Carteret Public Schools	NJ	grade_levels	5-12 (1:1 take-home); 1-4 (cart-based)	5-12 (take-home); 1-4 carts
2745	Lebanon Community School Corp	IN	grade_levels	K-12	K-5 iPad; 6-12 MacBook Air
2745	Lebanon Community School Corp	IN	device_type	iPad (K-5); MacBook Air (6-12)	Mixed (iPad/MacBook)
2746	Zion ESD 6	IL	one_to_one	Yes	Yes (likely)
2747	Libertyville SD 70	IL	device_type	Mixed (iPad/Chromebook)	Chromebook
2749	Palo Verde Unified	CA	one_to_one	Yes (likely)	Yes
2750	Greene Co. Tech School Dist.	AR	one_to_one	Yes (phased)	Yes (likely)
2750	Greene Co. Tech School Dist.	AR	grade_levels	8-11 initially; expanding	K-12
2751	Monroe County	AL	year_started	2020 (by)	
2751	Monroe County	AL	one_to_one	Yes (likely)	
2751	Monroe County	AL	grade_levels	K-12	
2751	Monroe County	AL	device_type	Chromebook	
2752	Marshfield Unified School District	WI	year_started	2016	
2752	Marshfield Unified School District	WI	month_started	September	
2752	Marshfield Unified School District	WI	one_to_one	Yes	
2752	Marshfield Unified School District	WI	grade_levels	K-8 in 2016-17; 9-12 added 2017-18	
2752	Marshfield Unified School District	WI	device_type	iPad	Chromebook
2753	Burlington School District	VT	year_started	2020 (by)	2018 (by)
2753	Burlington School District	VT	month_started		September
2753	Burlington School District	VT	grade_levels	6-12 take-home; elementary in-class	6-12
2754	Hardin County	TN	year_started	2020 (by)	
2754	Hardin County	TN	one_to_one	Yes (likely)	
2754	Hardin County	TN	grade_levels	K-12	
2754	Hardin County	TN	device_type	Chromebook	
2755	Nordonia Hills City	OH	year_started	2017	
2755	Nordonia Hills City	OH	one_to_one	Yes (phased)	
2755	Nordonia Hills City	OH	grade_levels	Started with select grades; 8th grade documented	
2757	Canandaigua City School District	NY	year_started	2017	2018 (by)
2757	Canandaigua City School District	NY	month_started	September	
2757	Canandaigua City School District	NY	grade_levels	6-12 take-home; 1-5 in-class; K iPad	6-12
2758	Township of Ocean Schools	NJ	grade_levels	2-12	K-12
2759	Gretna Public Schools	NE	one_to_one	Yes (likely)	Yes
2760	Sikeston R-6	MO	year_started	2020 (by)	
2760	Sikeston R-6	MO	one_to_one	Yes (likely)	
2760	Sikeston R-6	MO	grade_levels	K-12	
2760	Sikeston R-6	MO	device_type	Chromebook	
2761	Calhoun City	GA	year_started	2020	2020 (by)
2761	Calhoun City	GA	one_to_one	Yes	Yes (likely)
2762	Avon School District	CT	year_started	2024	2020 (by)
2762	Avon School District	CT	month_started	September	
2762	Avon School District	CT	grade_levels	Phase 1: gr 1-3 (2024-25); Phase 2: gr 1-6 (2025-26); Full K-12 by 2026-27	6-11
2762	Avon School District	CT	device_type	Chromebook	Laptop
2763	Port Angeles School District	WA	one_to_one	Yes (likely)	Yes
2764	Bainbridge Island School District	WA	month_started	March	
2764	Bainbridge Island School District	WA	one_to_one	Yes	Yes (phased)
2764	Bainbridge Island School District	WA	grade_levels	5-12 take-home; K-4 in-class	5-12
2765	Albert Gallatin Area SD	PA	year_started	2020 (by)	
2765	Albert Gallatin Area SD	PA	one_to_one	Yes	
2765	Albert Gallatin Area SD	PA	grade_levels	K-12	
2765	Albert Gallatin Area SD	PA	device_type	Chromebook	
2766	Mayfield City	OH	grade_levels	9-12 in 2017; 5-8 added 2018; 2-4 added 2020-21	5-12
2767	Garfield Heights City Schools	OH	one_to_one	Yes (likely)	Yes
2768	East Cleveland City School District	OH	year_started	2020 (by)	2020
2768	East Cleveland City School District	OH	one_to_one	Yes (likely)	Yes
2769	Cherokee County Schools	NC	one_to_one	Yes	Yes (phased)
2770	Hyde Park Central School District	NY	grade_levels	4-12 take-home; K-3 in-class	K-12
2771	Big Lake Public School District	MN	month_started	September	
2774	Middleborough	MA	year_started	2020 (by)	2019 (by)
2774	Middleborough	MA	one_to_one	Yes (likely)	Yes (phased)
2774	Middleborough	MA	grade_levels	K-12	5-12
2774	Middleborough	MA	device_type	Chromebook	Mixed (iPad/Chromebook)
2777	Marion County	AL	year_started	2020 (by)	2021 (by)
2777	Marion County	AL	one_to_one	Yes (likely)	Partial
2778	Menasha Joint School District	WI	device_type	Mixed (Chromebook/laptop)	Chromebook
2779	Stephenville ISD	TX	year_started	2017	2016
2779	Stephenville ISD	TX	month_started	August	Fall
2779	Stephenville ISD	TX	grade_levels	HS first (2017-18); phased expansion	K-12
2780	Hickman County	TN	year_started	2020 (by)	
2780	Hickman County	TN	one_to_one	Yes (likely)	
2780	Hickman County	TN	grade_levels	K-12	
2780	Hickman County	TN	device_type	Chromebook	
2782	Rose Tree Media SD	PA	grade_levels	1-12 (Chromebook for MS/HS; iPad for elem)	1-12
2782	Rose Tree Media SD	PA	device_type	Mixed (Chromebook/iPad)	Chromebook
2785	Tenafly Public Schools	NJ	grade_levels	K-12	6-12
2786	Picayune School Dist	MS	grade_levels	K-12 classroom sets	K-12
2787	Auburn Public Schools	ME	month_started	September	Fall
2787	Auburn Public Schools	ME	grade_levels	K in 2011; expanding each year through 2014	K-12
2788	Plymouth Community School Corp	IN	one_to_one	Yes	Yes (likely)
2789	Blaine County District	ID	one_to_one	Yes (likely)	Yes
2790	Haralson County	GA	year_started	2020	2020 (by)
2790	Haralson County	GA	month_started		August
2790	Haralson County	GA	one_to_one	Yes (phased)	Yes
2790	Haralson County	GA	grade_levels	3-12	9-12
2791	Orinda Union Elementary	CA	one_to_one	Partial	Yes
2791	Orinda Union Elementary	CA	grade_levels	4-5 at 1:1; K-3 at 2:1 iPad	K-8
2791	Orinda Union Elementary	CA	device_type	Mixed (Chromebook/iPad)	Mixed
2792	Lovejoy ISD	TX	year_started	2017	2020 (by)
2792	Lovejoy ISD	TX	month_started	August	
2792	Lovejoy ISD	TX	one_to_one	Yes (phased)	Yes
2792	Lovejoy ISD	TX	grade_levels	HS first (2017-18); phased rollout	K-12
2793	Overton County	TN	one_to_one	Yes (likely)	Yes
2794	Radnor Township SD	PA	year_started	2011	2020 (by)
2794	Radnor Township SD	PA	one_to_one	Yes (phased)	Yes
2794	Radnor Township SD	PA	grade_levels	HS sophomores 2011; expanded to full K-12	K-12
2795	Spencerport Central School District	NY	year_started	2026 (by)	
2795	Spencerport Central School District	NY	one_to_one	Yes (likely)	
2795	Spencerport Central School District	NY	grade_levels	K-12	
2795	Spencerport Central School District	NY	device_type	Laptop	
2796	Rockville Centre Union Free School District	NY	device_type	Chromebook	Mixed
2797	North Tonawanda City School District	NY	one_to_one	Yes (likely)	Yes
2798	Sparta Township Public Schools	NJ	year_started	2016	2020 (by)
2798	Sparta Township Public Schools	NJ	month_started	September	
2798	Sparta Township Public Schools	NJ	one_to_one	Yes (phased)	Yes
2798	Sparta Township Public Schools	NJ	grade_levels	HS first 2016; expanded to lower grades	K-12
